instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,jenis_penyewa
10269,2012-03-08,Spring,2012,Mar,22,Not Holiday,Thursday,Working Day,Clear,0.56,0.5303,0.49,0.3284,12,141,153,Evening Riders
10270,2012-03-08,Spring,2012,Mar,23,Not Holiday,Thursday,Working Day,Mist,0.56,0.5303,0.49,0.4478,6,88,94,Evening Riders
10271,2012-03-09,Spring,2012,Mar,0,Not Holiday,Friday,Working Day,Mist,0.58,0.5455,0.49,0.4627,3,51,54,Night Riders
10272,2012-03-09,Spring,2012,Mar,1,Not Holiday,Friday,Working Day,Light_snow,0.56,0.5303,0.52,0.4925,4,22,26,Night Riders
10273,2012-03-09,Spring,2012,Mar,2,Not Holiday,Friday,Working Day,Light_snow,0.48,0.4697,0.77,0.4179,2,9,11,Night Riders
10274,2012-03-09,Spring,2012,Mar,3,Not Holiday,Friday,Working Day,Clear,0.46,0.4545,0.77,0.5224,0,7,7,Night Riders
10275,2012-03-09,Spring,2012,Mar,4,Not Holiday,Friday,Working Day,Light_snow,0.4,0.4091,0.66,0.2836,0,1,1,Night Riders
10276,2012-03-09,Spring,2012,Mar,5,Not Holiday,Friday,Working Day,Light_snow,0.4,0.4091,0.66,0.2836,2,27,29,Morning Riders
10277,2012-03-09,Spring,2012,Mar,6,Not Holiday,Friday,Working Day,Mist,0.4,0.4091,0.5,0.3582,2,83,85,Morning Riders
10278,2012-03-09,Spring,2012,Mar,7,Not Holiday,Friday,Working Day,Mist,0.38,0.3939,0.4,0.2985,6,262,268,Morning Riders
10279,2012-03-09,Spring,2012,Mar,8,Not Holiday,Friday,Working Day,Mist,0.34,0.2879,0.42,0.5224,17,484,501,Morning Riders
10280,2012-03-09,Spring,2012,Mar,9,Not Holiday,Friday,Working Day,Mist,0.34,0.2879,0.42,0.5224,17,267,284,Morning Riders
10281,2012-03-09,Spring,2012,Mar,10,Not Holiday,Friday,Working Day,Mist,0.34,0.2879,0.36,0.4925,14,145,159,Morning Riders
10282,2012-03-09,Spring,2012,Mar,11,Not Holiday,Friday,Working Day,Mist,0.36,0.3333,0.34,0.3582,17,170,187,Morning Riders
10283,2012-03-09,Spring,2012,Mar,12,Not Holiday,Friday,Working Day,Clear,0.36,0.3333,0.34,0.4179,27,174,201,Afternoon Riders
10284,2012-03-09,Spring,2012,Mar,13,Not Holiday,Friday,Working Day,Mist,0.38,0.3939,0.29,0.3881,49,175,224,Afternoon Riders
10285,2012-03-09,Spring,2012,Mar,14,Not Holiday,Friday,Working Day,Clear,0.42,0.4242,0.28,0.4627,49,129,178,Afternoon Riders
10286,2012-03-09,Spring,2012,Mar,15,Not Holiday,Friday,Working Day,Clear,0.46,0.4545,0.24,0.2537,50,188,238,Afternoon Riders
10287,2012-03-09,Spring,2012,Mar,16,Not Holiday,Friday,Working Day,Clear,0.48,0.4697,0.23,0.4179,51,292,343,Afternoon Riders
10288,2012-03-09,Spring,2012,Mar,17,Not Holiday,Friday,Working Day,Clear,0.46,0.4545,0.24,0.3881,68,498,566,Afternoon Riders
10289,2012-03-09,Spring,2012,Mar,18,Not Holiday,Friday,Working Day,Clear,0.44,0.4394,0.26,0.5224,30,440,470,Evening Riders
10290,2012-03-09,Spring,2012,Mar,19,Not Holiday,Friday,Working Day,Clear,0.42,0.4242,0.28,0.6119,12,232,244,Evening Riders
10291,2012-03-09,Spring,2012,Mar,20,Not Holiday,Friday,Working Day,Clear,0.38,0.3939,0.32,0.3582,3,156,159,Evening Riders
10292,2012-03-09,Spring,2012,Mar,21,Not Holiday,Friday,Working Day,Clear,0.36,0.3333,0.34,0.3284,8,133,141,Evening Riders
10293,2012-03-09,Spring,2012,Mar,22,Not Holiday,Friday,Working Day,Clear,0.34,0.2879,0.31,0.4925,7,100,107,Evening Riders
10294,2012-03-09,Spring,2012,Mar,23,Not Holiday,Friday,Working Day,Clear,0.32,0.303,0.33,0.2985,9,77,86,Evening Riders
10295,2012-03-10,Spring,2012,Mar,0,Not Holiday,Saturday,Holiday,Clear,0.3,0.2727,0.36,0.3582,9,68,77,Night Riders
10296,2012-03-10,Spring,2012,Mar,1,Not Holiday,Saturday,Holiday,Clear,0.3,0.2879,0.36,0.2537,1,50,51,Night Riders
10297,2012-03-10,Spring,2012,Mar,2,Not Holiday,Saturday,Holiday,Clear,0.26,0.2424,0.41,0.2537,12,30,42,Night Riders
10298,2012-03-10,Spring,2012,Mar,3,Not Holiday,Saturday,Holiday,Clear,0.26,0.2273,0.41,0.2985,0,16,16,Night Riders
10299,2012-03-10,Spring,2012,Mar,4,Not Holiday,Saturday,Holiday,Clear,0.24,0.2121,0.41,0.3582,1,3,4,Night Riders
10300,2012-03-10,Spring,2012,Mar,5,Not Holiday,Saturday,Holiday,Clear,0.22,0.2121,0.42,0.2836,3,7,10,Morning Riders
10301,2012-03-10,Spring,2012,Mar,6,Not Holiday,Saturday,Holiday,Clear,0.22,0.2121,0.44,0.2836,1,11,12,Morning Riders
10302,2012-03-10,Spring,2012,Mar,7,Not Holiday,Saturday,Holiday,Clear,0.22,0.2121,0.44,0.2537,4,36,40,Morning Riders
10303,2012-03-10,Spring,2012,Mar,8,Not Holiday,Saturday,Holiday,Clear,0.22,0.2121,0.44,0.2985,15,96,111,Morning Riders
10304,2012-03-10,Spring,2012,Mar,9,Not Holiday,Saturday,Holiday,Clear,0.24,0.2121,0.41,0.3284,21,127,148,Morning Riders
10305,2012-03-10,Spring,2012,Mar,10,Not Holiday,Saturday,Holiday,Clear,0.26,0.2273,0.35,0.4179,47,176,223,Morning Riders
10306,2012-03-10,Spring,2012,Mar,11,Not Holiday,Saturday,Holiday,Clear,0.3,0.2727,0.33,0.3284,56,218,274,Morning Riders
10307,2012-03-10,Spring,2012,Mar,12,Not Holiday,Saturday,Holiday,Clear,0.3,0.2727,0.33,0.3284,88,241,329,Afternoon Riders
10308,2012-03-10,Spring,2012,Mar,13,Not Holiday,Saturday,Holiday,Clear,0.32,0.303,0.29,0.2836,89,268,357,Afternoon Riders
10309,2012-03-10,Spring,2012,Mar,14,Not Holiday,Saturday,Holiday,Clear,0.34,0.3182,0.27,0.2836,117,262,379,Afternoon Riders
10310,2012-03-10,Spring,2012,Mar,15,Not Holiday,Saturday,Holiday,Clear,0.34,0.3636,0.25,0.0,132,274,406,Afternoon Riders
10311,2012-03-10,Spring,2012,Mar,16,Not Holiday,Saturday,Holiday,Clear,0.36,0.3636,0.23,0.0,115,275,390,Afternoon Riders
10312,2012-03-10,Spring,2012,Mar,17,Not Holiday,Saturday,Holiday,Clear,0.36,0.3788,0.23,0.0,104,250,354,Afternoon Riders
10313,2012-03-10,Spring,2012,Mar,18,Not Holiday,Saturday,Holiday,Clear,0.36,0.3636,0.21,0.0896,67,230,297,Evening Riders
10314,2012-03-10,Spring,2012,Mar,19,Not Holiday,Saturday,Holiday,Clear,0.34,0.3636,0.25,0.0,25,159,184,Evening Riders
10315,2012-03-10,Spring,2012,Mar,20,Not Holiday,Saturday,Holiday,Clear,0.32,0.3333,0.33,0.1343,20,101,121,Evening Riders
10316,2012-03-10,Spring,2012,Mar,21,Not Holiday,Saturday,Holiday,Clear,0.3,0.2879,0.39,0.2239,16,94,110,Evening Riders
10317,2012-03-10,Spring,2012,Mar,22,Not Holiday,Saturday,Holiday,Clear,0.26,0.2576,0.44,0.1642,19,81,100,Evening Riders
10318,2012-03-10,Spring,2012,Mar,23,Not Holiday,Saturday,Holiday,Clear,0.26,0.2576,0.41,0.194,6,77,83,Evening Riders
10319,2012-03-11,Spring,2012,Mar,0,Not Holiday,Sunday,Holiday,Clear,0.26,0.2879,0.44,0.0896,7,62,69,Night Riders
10320,2012-03-11,Spring,2012,Mar,1,Not Holiday,Sunday,Holiday,Clear,0.24,0.2424,0.52,0.1642,4,57,61,Night Riders
10321,2012-03-11,Spring,2012,Mar,3,Not Holiday,Sunday,Holiday,Clear,0.24,0.2424,0.6,0.1343,15,51,66,Night Riders
10322,2012-03-11,Spring,2012,Mar,4,Not Holiday,Sunday,Holiday,Clear,0.24,0.2424,0.6,0.1343,7,15,22,Night Riders
10323,2012-03-11,Spring,2012,Mar,5,Not Holiday,Sunday,Holiday,Clear,0.24,0.2424,0.6,0.1642,2,5,7,Morning Riders
10324,2012-03-11,Spring,2012,Mar,6,Not Holiday,Sunday,Holiday,Clear,0.24,0.2424,0.7,0.1642,2,8,10,Morning Riders
10325,2012-03-11,Spring,2012,Mar,7,Not Holiday,Sunday,Holiday,Clear,0.22,0.2273,0.69,0.1343,2,15,17,Morning Riders
10326,2012-03-11,Spring,2012,Mar,8,Not Holiday,Sunday,Holiday,Clear,0.22,0.2273,0.69,0.1343,4,68,72,Morning Riders
10327,2012-03-11,Spring,2012,Mar,9,Not Holiday,Sunday,Holiday,Clear,0.26,0.2576,0.6,0.2239,20,70,90,Morning Riders
10328,2012-03-11,Spring,2012,Mar,10,Not Holiday,Sunday,Holiday,Clear,0.32,0.303,0.49,0.2836,71,147,218,Morning Riders
10329,2012-03-11,Spring,2012,Mar,11,Not Holiday,Sunday,Holiday,Clear,0.36,0.3333,0.43,0.2836,90,209,299,Morning Riders
10330,2012-03-11,Spring,2012,Mar,12,Not Holiday,Sunday,Holiday,Clear,0.4,0.4091,0.37,0.2985,146,264,410,Afternoon Riders
10331,2012-03-11,Spring,2012,Mar,13,Not Holiday,Sunday,Holiday,Clear,0.42,0.4242,0.41,0.2985,176,288,464,Afternoon Riders
10332,2012-03-11,Spring,2012,Mar,14,Not Holiday,Sunday,Holiday,Clear,0.46,0.4545,0.31,0.2836,212,289,501,Afternoon Riders
10333,2012-03-11,Spring,2012,Mar,15,Not Holiday,Sunday,Holiday,Clear,0.5,0.4848,0.29,0.2985,201,286,487,Afternoon Riders
10334,2012-03-11,Spring,2012,Mar,16,Not Holiday,Sunday,Holiday,Clear,0.5,0.4848,0.31,0.3582,208,301,509,Afternoon Riders
10335,2012-03-11,Spring,2012,Mar,17,Not Holiday,Sunday,Holiday,Clear,0.52,0.5,0.27,0.2985,199,299,498,Afternoon Riders
10336,2012-03-11,Spring,2012,Mar,18,Not Holiday,Sunday,Holiday,Clear,0.52,0.5,0.29,0.2836,133,256,389,Evening Riders
10337,2012-03-11,Spring,2012,Mar,19,Not Holiday,Sunday,Holiday,Clear,0.5,0.4848,0.31,0.2836,55,203,258,Evening Riders
10338,2012-03-11,Spring,2012,Mar,20,Not Holiday,Sunday,Holiday,Clear,0.44,0.4394,0.47,0.2239,42,129,171,Evening Riders
10339,2012-03-11,Spring,2012,Mar,21,Not Holiday,Sunday,Holiday,Clear,0.42,0.4242,0.54,0.2239,37,110,147,Evening Riders
10340,2012-03-11,Spring,2012,Mar,22,Not Holiday,Sunday,Holiday,Clear,0.4,0.4091,0.54,0.194,13,81,94,Evening Riders
10341,2012-03-11,Spring,2012,Mar,23,Not Holiday,Sunday,Holiday,Clear,0.4,0.4091,0.5,0.1642,12,40,52,Evening Riders
10342,2012-03-12,Spring,2012,Mar,0,Not Holiday,Monday,Working Day,Clear,0.38,0.3939,0.54,0.194,4,20,24,Night Riders
10343,2012-03-12,Spring,2012,Mar,1,Not Holiday,Monday,Working Day,Clear,0.38,0.3939,0.5,0.1343,1,9,10,Night Riders
10344,2012-03-12,Spring,2012,Mar,2,Not Holiday,Monday,Working Day,Clear,0.38,0.3939,0.54,0.1045,4,5,9,Night Riders
10345,2012-03-12,Spring,2012,Mar,3,Not Holiday,Monday,Working Day,Clear,0.36,0.3485,0.5,0.1343,0,2,2,Night Riders
10346,2012-03-12,Spring,2012,Mar,4,Not Holiday,Monday,Working Day,Clear,0.34,0.3333,0.61,0.194,0,3,3,Night Riders
10347,2012-03-12,Spring,2012,Mar,5,Not Holiday,Monday,Working Day,Clear,0.34,0.3333,0.61,0.194,1,15,16,Morning Riders
10348,2012-03-12,Spring,2012,Mar,6,Not Holiday,Monday,Working Day,Clear,0.34,0.3485,0.57,0.1045,2,86,88,Morning Riders
10349,2012-03-12,Spring,2012,Mar,7,Not Holiday,Monday,Working Day,Clear,0.34,0.3485,0.53,0.1045,9,259,268,Morning Riders
10350,2012-03-12,Spring,2012,Mar,8,Not Holiday,Monday,Working Day,Clear,0.34,0.3333,0.61,0.1343,17,547,564,Morning Riders
10351,2012-03-12,Spring,2012,Mar,9,Not Holiday,Monday,Working Day,Clear,0.38,0.3939,0.54,0.1642,21,260,281,Morning Riders
10352,2012-03-12,Spring,2012,Mar,10,Not Holiday,Monday,Working Day,Clear,0.4,0.4091,0.5,0.2239,39,98,137,Morning Riders
10353,2012-03-12,Spring,2012,Mar,11,Not Holiday,Monday,Working Day,Clear,0.44,0.4394,0.44,0.2239,39,111,150,Morning Riders
10354,2012-03-12,Spring,2012,Mar,12,Not Holiday,Monday,Working Day,Clear,0.48,0.4697,0.39,0.2239,59,162,221,Afternoon Riders
10355,2012-03-12,Spring,2012,Mar,13,Not Holiday,Monday,Working Day,Mist,0.54,0.5152,0.32,0.2537,74,176,250,Afternoon Riders
10356,2012-03-12,Spring,2012,Mar,14,Not Holiday,Monday,Working Day,Mist,0.58,0.5455,0.32,0.2836,76,145,221,Afternoon Riders
10357,2012-03-12,Spring,2012,Mar,15,Not Holiday,Monday,Working Day,Clear,0.56,0.5303,0.4,0.1343,74,159,233,Afternoon Riders
10358,2012-03-12,Spring,2012,Mar,16,Not Holiday,Monday,Working Day,Clear,0.62,0.6212,0.35,0.4478,77,255,332,Afternoon Riders
10359,2012-03-12,Spring,2012,Mar,17,Not Holiday,Monday,Working Day,Mist,0.62,0.6212,0.38,0.4179,87,557,644,Afternoon Riders
10360,2012-03-12,Spring,2012,Mar,18,Not Holiday,Monday,Working Day,Mist,0.6,0.6212,0.43,0.194,89,623,712,Evening Riders
10361,2012-03-12,Spring,2012,Mar,19,Not Holiday,Monday,Working Day,Mist,0.56,0.5303,0.49,0.2239,67,379,446,Evening Riders
10362,2012-03-12,Spring,2012,Mar,20,Not Holiday,Monday,Working Day,Mist,0.56,0.5303,0.49,0.2239,49,237,286,Evening Riders
10363,2012-03-12,Spring,2012,Mar,21,Not Holiday,Monday,Working Day,Mist,0.54,0.5152,0.56,0.2239,22,183,205,Evening Riders
10364,2012-03-12,Spring,2012,Mar,22,Not Holiday,Monday,Working Day,Mist,0.56,0.5303,0.56,0.2239,17,116,133,Evening Riders
10365,2012-03-12,Spring,2012,Mar,23,Not Holiday,Monday,Working Day,Clear,0.56,0.5303,0.56,0.2239,10,53,63,Evening Riders
10366,2012-03-13,Spring,2012,Mar,0,Not Holiday,Tuesday,Working Day,Mist,0.56,0.5303,0.52,0.194,5,21,26,Night Riders
10367,2012-03-13,Spring,2012,Mar,1,Not Holiday,Tuesday,Working Day,Mist,0.52,0.5,0.59,0.2239,2,14,16,Night Riders
10368,2012-03-13,Spring,2012,Mar,2,Not Holiday,Tuesday,Working Day,Light_snow,0.52,0.5,0.72,0.2985,0,1,1,Night Riders
10369,2012-03-13,Spring,2012,Mar,3,Not Holiday,Tuesday,Working Day,Light_snow,0.52,0.5,0.72,0.2985,0,2,2,Night Riders
10370,2012-03-13,Spring,2012,Mar,4,Not Holiday,Tuesday,Working Day,Mist,0.46,0.4545,0.82,0.194,0,1,1,Night Riders
10371,2012-03-13,Spring,2012,Mar,5,Not Holiday,Tuesday,Working Day,Mist,0.46,0.4545,0.82,0.194,0,24,24,Morning Riders
10372,2012-03-13,Spring,2012,Mar,6,Not Holiday,Tuesday,Working Day,Light_snow,0.46,0.4545,0.82,0.194,5,108,113,Morning Riders
10373,2012-03-13,Spring,2012,Mar,7,Not Holiday,Tuesday,Working Day,Mist,0.46,0.4545,0.82,0.2836,16,292,308,Morning Riders
10374,2012-03-13,Spring,2012,Mar,8,Not Holiday,Tuesday,Working Day,Clear,0.46,0.4545,0.82,0.2836,22,571,593,Morning Riders
10375,2012-03-13,Spring,2012,Mar,9,Not Holiday,Tuesday,Working Day,Clear,0.48,0.4697,0.82,0.2836,18,324,342,Morning Riders
10376,2012-03-13,Spring,2012,Mar,10,Not Holiday,Tuesday,Working Day,Clear,0.52,0.5,0.77,0.2239,28,115,143,Morning Riders
10377,2012-03-13,Spring,2012,Mar,11,Not Holiday,Tuesday,Working Day,Clear,0.54,0.5152,0.73,0.2836,64,155,219,Morning Riders
10378,2012-03-13,Spring,2012,Mar,12,Not Holiday,Tuesday,Working Day,Clear,0.6,0.6061,0.6,0.2836,47,197,244,Afternoon Riders
10379,2012-03-13,Spring,2012,Mar,13,Not Holiday,Tuesday,Working Day,Clear,0.6,0.6061,0.6,0.3881,53,180,233,Afternoon Riders
10380,2012-03-13,Spring,2012,Mar,14,Not Holiday,Tuesday,Working Day,Clear,0.64,0.6212,0.53,0.3284,52,160,212,Afternoon Riders
10381,2012-03-13,Spring,2012,Mar,15,Not Holiday,Tuesday,Working Day,Clear,0.7,0.6364,0.39,0.2239,68,196,264,Afternoon Riders
10382,2012-03-13,Spring,2012,Mar,16,Not Holiday,Tuesday,Working Day,Clear,0.72,0.6515,0.34,0.3881,53,312,365,Afternoon Riders
10383,2012-03-13,Spring,2012,Mar,17,Not Holiday,Tuesday,Working Day,Clear,0.7,0.6364,0.37,0.1045,62,614,676,Afternoon Riders
10384,2012-03-13,Spring,2012,Mar,18,Not Holiday,Tuesday,Working Day,Clear,0.7,0.6364,0.34,0.2985,96,638,734,Evening Riders
10385,2012-03-13,Spring,2012,Mar,19,Not Holiday,Tuesday,Working Day,Clear,0.64,0.6212,0.47,0.2239,50,429,479,Evening Riders
10386,2012-03-13,Spring,2012,Mar,20,Not Holiday,Tuesday,Working Day,Clear,0.6,0.6212,0.49,0.1642,45,306,351,Evening Riders
10387,2012-03-13,Spring,2012,Mar,21,Not Holiday,Tuesday,Working Day,Clear,0.58,0.5455,0.56,0.1045,44,200,244,Evening Riders
10388,2012-03-13,Spring,2012,Mar,22,Not Holiday,Tuesday,Working Day,Clear,0.56,0.5303,0.6,0.0896,24,146,170,Evening Riders
10389,2012-03-13,Spring,2012,Mar,23,Not Holiday,Tuesday,Working Day,Clear,0.56,0.5303,0.56,0.1343,8,79,87,Evening Riders
10390,2012-03-14,Spring,2012,Mar,0,Not Holiday,Wednesday,Working Day,Clear,0.54,0.5152,0.6,0.1045,5,34,39,Night Riders
10391,2012-03-14,Spring,2012,Mar,1,Not Holiday,Wednesday,Working Day,Clear,0.52,0.5,0.63,0.0896,2,25,27,Night Riders
10392,2012-03-14,Spring,2012,Mar,2,Not Holiday,Wednesday,Working Day,Clear,0.5,0.4848,0.68,0.194,0,2,2,Night Riders
10393,2012-03-14,Spring,2012,Mar,3,Not Holiday,Wednesday,Working Day,Clear,0.48,0.4697,0.72,0.194,1,3,4,Night Riders
10394,2012-03-14,Spring,2012,Mar,4,Not Holiday,Wednesday,Working Day,Clear,0.48,0.4697,0.67,0.0896,1,4,5,Night Riders
10395,2012-03-14,Spring,2012,Mar,5,Not Holiday,Wednesday,Working Day,Clear,0.44,0.4394,0.82,0.1343,2,25,27,Morning Riders
10396,2012-03-14,Spring,2012,Mar,6,Not Holiday,Wednesday,Working Day,Clear,0.44,0.4394,0.82,0.0896,1,120,121,Morning Riders
10397,2012-03-14,Spring,2012,Mar,7,Not Holiday,Wednesday,Working Day,Clear,0.44,0.4394,0.82,0.1045,20,348,368,Morning Riders
10398,2012-03-14,Spring,2012,Mar,8,Not Holiday,Wednesday,Working Day,Clear,0.44,0.4394,0.82,0.0,34,628,662,Morning Riders
10399,2012-03-14,Spring,2012,Mar,9,Not Holiday,Wednesday,Working Day,Clear,0.52,0.5,0.68,0.0,26,325,351,Morning Riders
10400,2012-03-14,Spring,2012,Mar,10,Not Holiday,Wednesday,Working Day,Clear,0.56,0.5303,0.56,0.1045,38,150,188,Morning Riders
10401,2012-03-14,Spring,2012,Mar,11,Not Holiday,Wednesday,Working Day,Mist,0.62,0.6212,0.41,0.1642,65,155,220,Morning Riders
10402,2012-03-14,Spring,2012,Mar,12,Not Holiday,Wednesday,Working Day,Mist,0.64,0.6212,0.29,0.0,55,212,267,Afternoon Riders
10403,2012-03-14,Spring,2012,Mar,13,Not Holiday,Wednesday,Working Day,Clear,0.66,0.6212,0.27,0.2239,57,197,254,Afternoon Riders
10404,2012-03-14,Spring,2012,Mar,14,Not Holiday,Wednesday,Working Day,Clear,0.7,0.6364,0.23,0.3284,61,163,224,Afternoon Riders
10405,2012-03-14,Spring,2012,Mar,15,Not Holiday,Wednesday,Working Day,Clear,0.7,0.6364,0.24,0.0,86,197,283,Afternoon Riders
10406,2012-03-14,Spring,2012,Mar,16,Not Holiday,Wednesday,Working Day,Clear,0.72,0.6364,0.25,0.194,78,278,356,Afternoon Riders
10407,2012-03-14,Spring,2012,Mar,17,Not Holiday,Wednesday,Working Day,Clear,0.7,0.6364,0.28,0.0896,140,642,782,Afternoon Riders
10408,2012-03-14,Spring,2012,Mar,18,Not Holiday,Wednesday,Working Day,Clear,0.7,0.6364,0.32,0.0,102,647,749,Evening Riders
10409,2012-03-14,Spring,2012,Mar,19,Not Holiday,Wednesday,Working Day,Clear,0.64,0.6212,0.33,0.1642,70,402,472,Evening Riders
10410,2012-03-14,Spring,2012,Mar,20,Not Holiday,Wednesday,Working Day,Clear,0.62,0.6212,0.35,0.1045,44,286,330,Evening Riders
10411,2012-03-14,Spring,2012,Mar,21,Not Holiday,Wednesday,Working Day,Clear,0.6,0.6212,0.4,0.0896,47,241,288,Evening Riders
10412,2012-03-14,Spring,2012,Mar,22,Not Holiday,Wednesday,Working Day,Clear,0.52,0.5,0.55,0.1343,43,159,202,Evening Riders
10413,2012-03-14,Spring,2012,Mar,23,Not Holiday,Wednesday,Working Day,Clear,0.56,0.5303,0.43,0.1642,19,72,91,Evening Riders
10414,2012-03-15,Spring,2012,Mar,0,Not Holiday,Thursday,Working Day,Clear,0.54,0.5152,0.49,0.1343,14,46,60,Night Riders
10415,2012-03-15,Spring,2012,Mar,1,Not Holiday,Thursday,Working Day,Clear,0.5,0.4848,0.59,0.1045,15,8,23,Night Riders
10416,2012-03-15,Spring,2012,Mar,2,Not Holiday,Thursday,Working Day,Clear,0.5,0.4848,0.59,0.0,14,5,19,Night Riders
10417,2012-03-15,Spring,2012,Mar,3,Not Holiday,Thursday,Working Day,Clear,0.5,0.4848,0.63,0.0,0,7,7,Night Riders
10418,2012-03-15,Spring,2012,Mar,4,Not Holiday,Thursday,Working Day,Clear,0.44,0.4394,0.77,0.1045,11,3,14,Night Riders
10419,2012-03-15,Spring,2012,Mar,5,Not Holiday,Thursday,Working Day,Clear,0.46,0.4545,0.67,0.0,2,24,26,Morning Riders
10420,2012-03-15,Spring,2012,Mar,6,Not Holiday,Thursday,Working Day,Clear,0.44,0.4394,0.72,0.0896,4,113,117,Morning Riders
10421,2012-03-15,Spring,2012,Mar,7,Not Holiday,Thursday,Working Day,Clear,0.44,0.4394,0.72,0.0896,14,367,381,Morning Riders
10422,2012-03-15,Spring,2012,Mar,8,Not Holiday,Thursday,Working Day,Clear,0.44,0.4394,0.77,0.1045,21,602,623,Morning Riders
10423,2012-03-15,Spring,2012,Mar,9,Not Holiday,Thursday,Working Day,Clear,0.48,0.4697,0.77,0.0896,30,285,315,Morning Riders
10424,2012-03-15,Spring,2012,Mar,10,Not Holiday,Thursday,Working Day,Clear,0.52,0.5,0.68,0.1045,34,130,164,Morning Riders
10425,2012-03-15,Spring,2012,Mar,11,Not Holiday,Thursday,Working Day,Clear,0.56,0.5303,0.6,0.1343,60,151,211,Morning Riders
10426,2012-03-15,Spring,2012,Mar,12,Not Holiday,Thursday,Working Day,Mist,0.62,0.6212,0.5,0.1343,59,206,265,Afternoon Riders
10427,2012-03-15,Spring,2012,Mar,13,Not Holiday,Thursday,Working Day,Mist,0.66,0.6212,0.41,0.0896,62,211,273,Afternoon Riders
10428,2012-03-15,Spring,2012,Mar,14,Not Holiday,Thursday,Working Day,Mist,0.72,0.6515,0.3,0.1045,81,177,258,Afternoon Riders
10429,2012-03-15,Spring,2012,Mar,15,Not Holiday,Thursday,Working Day,Clear,0.72,0.6515,0.32,0.2239,100,187,287,Afternoon Riders
10430,2012-03-15,Spring,2012,Mar,16,Not Holiday,Thursday,Working Day,Clear,0.72,0.6515,0.37,0.3881,95,331,426,Afternoon Riders
10431,2012-03-15,Spring,2012,Mar,17,Not Holiday,Thursday,Working Day,Clear,0.7,0.6364,0.39,0.2537,79,634,713,Afternoon Riders
10432,2012-03-15,Spring,2012,Mar,18,Not Holiday,Thursday,Working Day,Clear,0.66,0.6212,0.44,0.2836,98,648,746,Evening Riders
10433,2012-03-15,Spring,2012,Mar,19,Not Holiday,Thursday,Working Day,Mist,0.64,0.6212,0.5,0.194,72,353,425,Evening Riders
10434,2012-03-15,Spring,2012,Mar,20,Not Holiday,Thursday,Working Day,Mist,0.58,0.5455,0.6,0.3582,60,270,330,Evening Riders
10435,2012-03-15,Spring,2012,Mar,21,Not Holiday,Thursday,Working Day,Clear,0.54,0.5152,0.68,0.2836,36,207,243,Evening Riders
10436,2012-03-15,Spring,2012,Mar,22,Not Holiday,Thursday,Working Day,Clear,0.52,0.5,0.68,0.1343,32,137,169,Evening Riders
10437,2012-03-15,Spring,2012,Mar,23,Not Holiday,Thursday,Working Day,Clear,0.48,0.4697,0.72,0.194,12,85,97,Evening Riders
10438,2012-03-16,Spring,2012,Mar,0,Not Holiday,Friday,Working Day,Clear,0.44,0.4394,0.77,0.2537,8,49,57,Night Riders
10439,2012-03-16,Spring,2012,Mar,1,Not Holiday,Friday,Working Day,Mist,0.42,0.4242,0.82,0.3284,4,22,26,Night Riders
10440,2012-03-16,Spring,2012,Mar,2,Not Holiday,Friday,Working Day,Mist,0.42,0.4242,0.82,0.194,0,4,4,Night Riders
10441,2012-03-16,Spring,2012,Mar,3,Not Holiday,Friday,Working Day,Mist,0.4,0.4091,0.87,0.2836,0,3,3,Night Riders
10442,2012-03-16,Spring,2012,Mar,4,Not Holiday,Friday,Working Day,Mist,0.4,0.4091,0.87,0.2537,0,3,3,Night Riders
10443,2012-03-16,Spring,2012,Mar,5,Not Holiday,Friday,Working Day,Mist,0.4,0.4091,0.87,0.2239,2,30,32,Morning Riders
10444,2012-03-16,Spring,2012,Mar,6,Not Holiday,Friday,Working Day,Mist,0.4,0.4091,0.87,0.1642,3,96,99,Morning Riders
10445,2012-03-16,Spring,2012,Mar,7,Not Holiday,Friday,Working Day,Mist,0.4,0.4091,0.87,0.194,13,265,278,Morning Riders
10446,2012-03-16,Spring,2012,Mar,8,Not Holiday,Friday,Working Day,Mist,0.4,0.4091,0.87,0.2239,28,534,562,Morning Riders
10447,2012-03-16,Spring,2012,Mar,9,Not Holiday,Friday,Working Day,Mist,0.42,0.4242,0.82,0.0,35,277,312,Morning Riders
10448,2012-03-16,Spring,2012,Mar,10,Not Holiday,Friday,Working Day,Mist,0.4,0.4091,0.87,0.0896,44,136,180,Morning Riders
10449,2012-03-16,Spring,2012,Mar,11,Not Holiday,Friday,Working Day,Mist,0.44,0.4394,0.77,0.0,40,167,207,Morning Riders
10450,2012-03-16,Spring,2012,Mar,12,Not Holiday,Friday,Working Day,Mist,0.44,0.4394,0.82,0.1343,72,222,294,Afternoon Riders
10451,2012-03-16,Spring,2012,Mar,13,Not Holiday,Friday,Working Day,Mist,0.46,0.4545,0.77,0.0896,52,208,260,Afternoon Riders
10452,2012-03-16,Spring,2012,Mar,14,Not Holiday,Friday,Working Day,Mist,0.48,0.4697,0.72,0.0,56,146,202,Afternoon Riders
10453,2012-03-16,Spring,2012,Mar,15,Not Holiday,Friday,Working Day,Light_snow,0.46,0.4545,0.82,0.1045,19,88,107,Afternoon Riders
